HMDB	KEGG
HMDB0003125	C00027
HMDB0003128	C05481
HMDB0003134	C05552
HMDB0003141	C11061
HMDB0003153	C09731
HMDB0003154	C08583
HMDB0003157	C03139
HMDB0003164	C00852
HMDB0003173	C08727
HMDB0003175	C04707
HMDB0003178	C00032
HMDB0003180	C05482
HMDB0003192	C04051
HMDB0003193	C11134
HMDB0003208	C02198
HMDB0003213	C00492
HMDB0003217	C06563
HMDB0003219	C08355
HMDB0003224	C01801
HMDB0003227	C00409
HMDB0003229	C08362
HMDB0003231	C08367
HMDB0003233	C08601
HMDB0003235	C05956
HMDB0003236	C06543
HMDB0003243	C00466
HMDB0003249	C05625
HMDB0003252	C05963
HMDB0003254	C06470
HMDB0003255	C00317
HMDB0003259	C05471
HMDB0003263	C05904
HMDB0003265	C09755
HMDB0003269	C05380
HMDB0003276	C00283
HMDB0003282	C04152
HMDB0003288	C05688
HMDB0003290	C00800
HMDB0003306	C00774
HMDB0003312	C10208
HMDB0003315	C00414
HMDB0003320	C19837
HMDB0003325	C05787
HMDB0003331	C02494
HMDB0003335	C00104
HMDB0003337	C00127
HMDB0003338	C00192
HMDB0003339	C00217
HMDB0003344	C00266
HMDB0003345	C00267
HMDB0003349	C00337
HMDB0003351	C00394
HMDB0003352	C00400
HMDB0003355	C00431
HMDB0003357	C00437
HMDB0003361	C00396
HMDB0003363	C00470
HMDB0003364	C00472
HMDB0003366	C00479
HMDB0003369	C00501
HMDB0003371	C00508
HMDB0003374	C00515
HMDB0003375	C06099
HMDB0003377	C00531
HMDB0003378	C00533
HMDB0003379	C02174
HMDB0003391	C00631
HMDB0003402	C08348
HMDB0003403	C00718
HMDB0003404	C00734
HMDB0003405	C00739
HMDB0003406	C00740
HMDB0003407	C00741
HMDB0003409	C00757
HMDB0003411	C00763
HMDB0003416	C00792
HMDB0003417	C00793
HMDB0003418	C00795
HMDB0003419	C00798
HMDB0003422	C20144
HMDB0003423	C00819
HMDB0003424	C00823
HMDB0003426	C00831
HMDB0003429	C00853
HMDB0003431	C00860
HMDB0003441	C00903
HMDB0003442	C02530
HMDB0003447	C00955
HMDB0003449	C00962
HMDB0003450	C00964
HMDB0003453	C00969
HMDB0003454	C00971
HMDB0003458	C00992
HMDB0003459	C00993
HMDB0003464	C01035
HMDB0003466	C01040
HMDB0003470	C01045
HMDB0003474	C01060
HMDB0003484	C01102
HMDB0003498	C01172
HMDB0003501	C01481
HMDB0003502	C01204
HMDB0003503	C01207
HMDB0003514	C01231
HMDB0003518	C01251
HMDB0003529	C01284
HMDB0003533	C01301
HMDB0003536	C01344
HMDB0003537	C01345
HMDB0003539	C01355
HMDB0003540	C01367
HMDB0003543	C01412
HMDB0003546	C01451
HMDB0003550	C01561
HMDB0003551	C01563
HMDB0003553	C01613
HMDB0003555	C05850
HMDB0003556	C01674
HMDB0003559	C01699
HMDB0003563	C01735
HMDB0003571	C01832
HMDB0003572	C01850
HMDB0003573	C01851
HMDB0003581	C01909
HMDB0003584	C01959
HMDB0003585	C01962
HMDB0003598	C02075
HMDB0003601	C02105
HMDB0003603	C02530
HMDB0003609	C02218
HMDB0003625	C00703
HMDB0003633	C02442
HMDB0003634	C02452
HMDB0003638	C01413
HMDB0003640	C02486
HMDB0003642	C13884
HMDB0003646	C02565
HMDB0003647	C02576
HMDB0003648	C02588
HMDB0003654	C02646
HMDB0003656	C02658
HMDB0003661	C02723
HMDB0003665	C02739
HMDB0003667	C02759
HMDB0003671	C08380
HMDB0003681	C02946
HMDB0003701	C03114
HMDB0003705	C03166
HMDB0003745	C03576
HMDB0003747	C03582
HMDB0003759	C03681
HMDB0003767	C03765
HMDB0003769	C03772
HMDB0003791	C04043
HMDB0003797	C04056
HMDB0003818	C04295
HMDB0003826	C04332
HMDB0003831	C04368
HMDB0003834	C04392
HMDB0003840	C05172
HMDB0003841	C04454
HMDB0003848	C04520
HMDB0003871	C04717
HMDB0003876	C04742
HMDB0003882	C04778
HMDB0003896	C05107
HMDB0003903	C05123
HMDB0003904	C05125
HMDB0003905	C05130
HMDB0003911	C05145
HMDB0003920	C05189
HMDB0003929	C05239
HMDB0003932	C05258
HMDB0003934	C05260
HMDB0003935	C05261
HMDB0003936	C05262
HMDB0003937	C05263
HMDB0003938	C05264
HMDB0003939	C05265
HMDB0003940	C05266
HMDB0003941	C05267
HMDB0003942	C05268
HMDB0003943	C05269
HMDB0003944	C05271
HMDB0003945	C05272
HMDB0003946	C05273
HMDB0003947	C03595
HMDB0003948	C05275
HMDB0003949	C05276
HMDB0003950	C05276
HMDB0003952	C05280
HMDB0003955	C05290
HMDB0003956	C05291
HMDB0003959	C05295
HMDB0003966	C05335
HMDB0003967	C05338
HMDB0003971	C05345
HMDB0003974	C05379
HMDB0003976	C05385
HMDB0003993	C05433
HMDB0004025	C05484
HMDB0004026	C05485
HMDB0004029	C05490
HMDB0004030	C05497
HMDB0004031	C05498
HMDB0004035	C05502
HMDB0004041	C05519
HMDB0004043	C09902
HMDB0004045	C05528
HMDB0004047	C14143
HMDB0004051	C05554
HMDB0004058	C05578
HMDB0004061	C05583
HMDB0004062	C05585
HMDB0004063	C05588
HMDB0004067	C05604
HMDB0004068	C05606
HMDB0004072	C05627
HMDB0004073	C05634
HMDB0004076	C05638
HMDB0004077	C05639
HMDB0004078	C05640
HMDB0004080	C11695
HMDB0004081	C05643
HMDB0004083	C05645
HMDB0004085	C16794
HMDB0004086	C05648
HMDB0004087	C05201
HMDB0004089	C05653
HMDB0004094	C05658
HMDB0004095	C05659
HMDB0004096	C05660
HMDB0004101	C05670
HMDB0004110	C05682
HMDB0004112	C05686
HMDB0004113	C05689
HMDB0004119	C05698
HMDB0004122	C05704
HMDB0004135	C05723
HMDB0004136	C16884
HMDB0004142	C13881
HMDB0004148	C13691
HMDB0004157	C05789
HMDB0004158	C05791
HMDB0004160	C05794
HMDB0004162	C05796
HMDB0004181	C05827
HMDB0004185	C05832
HMDB0004186	C05834
HMDB0004193	C05842
HMDB0004194	C05843
HMDB0004195	C05844
HMDB0004198	C03313
HMDB0004215	C05901
HMDB0004220	C05921
HMDB0004224	C05933
HMDB0004225	C03771
HMDB0004226	C05936
HMDB0004230	C05942
HMDB0004231	C05944
HMDB0004234	C05949
HMDB0004236	C05954
HMDB0004238	C05958
HMDB0004240	C05960
HMDB0004241	C05962
HMDB0004242	C05964
HMDB0004243	C05965
HMDB0004244	C05966
HMDB0004246	C00306
HMDB0004249	C05981
HMDB0004256	C05995
HMDB0004257	C02944
HMDB0004258	C02041
HMDB0004259	C05642
HMDB0004264	C14771
HMDB0004270	C06023
HMDB0004284	C06044
HMDB0004290	C06051
HMDB0004291	C06052
HMDB0004296	C01659
HMDB0004304	C06080
HMDB0004305	C06081
HMDB0004309	C06085
HMDB0004321	C00521
HMDB0004326	C04779
HMDB0004327	C06142
HMDB0004350	C06180
HMDB0004363	C06195
HMDB0004366	C06199
HMDB0004369	C06212
HMDB0004370	C06213
HMDB0004381	C06241
HMDB0004385	C06314
HMDB0004400	C16366
HMDB0004437	C06772
HMDB0004448	C08357
HMDB0004461	C09815
HMDB0004472	C09844
HMDB0004476	C10126
HMDB0004482	C11132
HMDB0004483	C11133
HMDB0004484	C11136
HMDB0004486	C00353
HMDB0004487	C11383
HMDB0004527	C11555
HMDB0004586	C11924
HMDB0004601	C11947
HMDB0004610	C12144
HMDB0004611	C18045
HMDB0004628	C12144
HMDB0004659	C13809
HMDB0004662	C14180
HMDB0004666	C13856
HMDB0004667	C14762
HMDB0004668	C14765
HMDB0004669	C14766
HMDB0004670	C14767
HMDB0004679	C14776
HMDB0004680	C14778
HMDB0004682	C14780
HMDB0004684	C14782
HMDB0004688	C14808
HMDB0004690	C14810
HMDB0004692	C14812
HMDB0004693	C14813
HMDB0004694	C14814
HMDB0004696	C14820
HMDB0004699	C14823
HMDB0004701	C14825
HMDB0004702	C14826
HMDB0004705	C14829
HMDB0004706	C14831
HMDB0004708	C14833
HMDB0004811	C02625
HMDB0004812	C20450
HMDB0004816	C06502
HMDB0004821	C20384
HMDB0004825	C04227
HMDB0004826	C04548
HMDB0004827	C10172
HMDB0004832	C06126
HMDB0004833	C06126
HMDB0004834	C06126
HMDB0004835	C06126
HMDB0004836	C06126
HMDB0004837	C06126
HMDB0004838	C06126
HMDB0004839	C06126
HMDB0004840	C06126
HMDB0004841	C06126
HMDB0004842	C04730
HMDB0004843	C04730
HMDB0004844	C04730
HMDB0004845	C04730
HMDB0004846	C04730
HMDB0004847	C04730
HMDB0004848	C04730
HMDB0004849	C04730
HMDB0004850	C04730
HMDB0004851	C04730
HMDB0004852	C04730
HMDB0004853	C04911
HMDB0004854	C04911
HMDB0004855	C04911
HMDB0004856	C04911
HMDB0004857	C04911
HMDB0004858	C04911
HMDB0004859	C04911
HMDB0004860	C04911
HMDB0004861	C04911
HMDB0004863	C04911
HMDB0004865	C04911
HMDB0004877	C04737
HMDB0004878	C04737
HMDB0004880	C04737
HMDB0004881	C04737
HMDB0004882	C04737
HMDB0004884	C04737
HMDB0004886	C04737
HMDB0004889	C06135
HMDB0004896	C06135
HMDB0004897	C06135
HMDB0004902	C06136 
HMDB0004903	C06136 
HMDB0004904	C06136 
HMDB0004905	C06136 
HMDB0004906	C06136 
HMDB0004907	C06136 
HMDB0004908	C06136 
HMDB0004909	C06136 
HMDB0004910	C06136 
HMDB0004911	C06133
HMDB0004912	C06133
HMDB0004913	C06133
HMDB0004914	C06133
HMDB0004915	C06133
HMDB0004916	C06133
HMDB0004917	C06133
HMDB0004918	C06133
HMDB0004919	C06133
HMDB0004920	C06133
HMDB0004921	C06133
HMDB0004936	C04884
HMDB0004937	C04884
HMDB0004938	C04884
HMDB0004939	C04884
HMDB0004940	C01808
HMDB0004941	C04884
HMDB0004942	C04884
HMDB0004943	C04884
HMDB0004944	C04884
HMDB0004945	C04884
HMDB0004946	C04884
HMDB0004947	C00195
HMDB0004948	C00195
HMDB0004949	C00195
HMDB0004950	C00195
HMDB0004951	C00195
HMDB0004952	C00195
HMDB0004953	C00195
HMDB0004955	C00195
HMDB0004956	C00195
HMDB0004957	C00195
HMDB0004958	C03272
HMDB0004959	C03272
HMDB0004960	C03272
HMDB0004961	C03272
HMDB0004962	C03272
HMDB0004963	C03272
HMDB0004964	C03272
HMDB0004965	C03272
HMDB0004966	C03272
HMDB0004967	C03272
HMDB0004968	C03272
HMDB0004969	C01190
HMDB0004970	C01190
HMDB0004971	C01190
HMDB0004972	C01190
HMDB0004973	C01190
HMDB0004974	C01190
HMDB0004975	C01190
HMDB0004976	C01190
HMDB0004977	C01190
HMDB0004979	C01190
HMDB0004983	C11142
HMDB0004992	C07527
HMDB0004995	C06174
HMDB0004999	C07080
HMDB0005000	C06818
HMDB0005006	C06834
HMDB0005010	C07246
HMDB0005012	C07322
HMDB0005014	C07589
HMDB0005016	C07187
HMDB0005017	C11806
HMDB0005018	C06825
HMDB0005020	C06861
HMDB0005021	C07397
HMDB0005022	C01844
HMDB0005023	C07219
HMDB0005026	C07864
HMDB0005030	C06999
HMDB0005032	C07778
HMDB0005034	C07502
HMDB0005035	C07325
HMDB0005037	C07319
HMDB0005038	C07572
HMDB0005039	C07259
HMDB0005042	C12564
HMDB0005049	C13800
HMDB0005050	C14781
HMDB0005056	C18166
HMDB0005060	C16525
HMDB0005079	C14717
HMDB0005082	C06315
HMDB0005083	C13809
HMDB0005084	C11361
HMDB0005089	C04853
HMDB0005102	C06438
HMDB0005175	C05581
HMDB0005176	C00381
HMDB0005189	C13881
HMDB0005193	C02530
HMDB0005199	C09642
HMDB0005359	C00422
HMDB0005360	C00422
HMDB0005361	C00422
HMDB0005362	C00422
HMDB0005363	C00422
HMDB0005367	C00422
HMDB0005368	C00422
HMDB0005369	C00422
HMDB0005370	C00422
HMDB0005372	C00422
HMDB0005373	C00422
HMDB0005374	C00422
HMDB0005375	C00422
HMDB0005376	C00422
HMDB0005377	C00422
HMDB0005378	C00422
HMDB0005379	C00422
HMDB0005380	C00422
HMDB0005381	C00422
HMDB0005382	C00422
HMDB0005383	C00422
HMDB0005384	C00422
HMDB0005385	C00422
HMDB0005386	C00422
HMDB0005387	C00422
HMDB0005388	C00422
HMDB0005389	C00422
HMDB0005390	C00422
HMDB0005391	C00422
HMDB0005392	C00422
HMDB0005393	C00422
HMDB0005395	C00422
HMDB0005396	C00422
HMDB0005397	C00422
HMDB0005398	C00422
HMDB0005399	C00422
HMDB0005400	C00422
HMDB0005401	C00422
HMDB0005402	C00422
HMDB0005403	C00422
HMDB0005404	C00422
HMDB0005405	C00422
HMDB0005406	C00422
HMDB0005407	C00422
HMDB0005408	C00422
HMDB0005409	C00422
HMDB0005410	C00422
HMDB0005411	C00422
HMDB0005412	C00422
HMDB0005413	C00422
HMDB0005414	C00422
HMDB0005415	C00422
HMDB0005416	C00422
HMDB0005418	C00422
HMDB0005419	C00422
HMDB0005420	C00422
HMDB0005421	C00422
HMDB0005422	C00422
HMDB0005423	C00422
HMDB0005424	C00422
HMDB0005425	C00422
HMDB0005426	C00422
HMDB0005427	C00422
HMDB0005428	C00422
HMDB0005429	C00422
HMDB0005430	C00422
HMDB0005431	C00422
HMDB0005433	C00422
HMDB0005434	C00422
HMDB0005435	C00422
HMDB0005436	C00422
HMDB0005437	C00422
HMDB0005438	C00422
HMDB0005439	C00422
HMDB0005440	C00422
HMDB0005441	C00422
HMDB0005442	C00422
HMDB0005443	C00422
HMDB0005444	C00422
HMDB0005445	C00422
HMDB0005446	C00422
HMDB0005447	C00422
HMDB0005448	C00422
HMDB0005449	C00422
HMDB0005450	C00422
HMDB0005451	C00422
HMDB0005452	C00422
HMDB0005454	C00422
HMDB0005455	C00422
HMDB0005456	C00422
HMDB0005457	C00422
HMDB0005458	C00422
HMDB0005459	C00422
HMDB0005460	C00422
HMDB0005461	C00422
HMDB0005462	C00422
HMDB0005463	C00422
HMDB0005464	C00422
HMDB0005465	C00422
HMDB0005466	C00422
HMDB0005467	C00422
HMDB0005468	C00422
HMDB0005469	C00422
HMDB0005470	C00422
HMDB0005471	C00422
HMDB0005472	C00422
HMDB0005473	C00422
HMDB0005474	C00422
HMDB0005475	C00422
HMDB0005476	C00422
HMDB0005768	C02993
HMDB0005779	C00350
HMDB0005780	C00350
HMDB0005781	C14536
HMDB0005782	C01709
HMDB0005783	C10462
HMDB0005794	C00389
HMDB0005799	C12630
HMDB0005800	C01514
HMDB0005801	C05903
HMDB0005802	C10469
HMDB0005805	C06575
HMDB0005806	C09900
HMDB0005807	C01424
HMDB0005808	C00858
HMDB0005809	C10453
HMDB0005810	C05631
HMDB0005811	C09732
HMDB0005812	C09871
HMDB0005814	C08157
HMDB0005821	C01235
HMDB0005826	C01235
HMDB0005831	C02810
HMDB0005843	C19317
HMDB0005849	C14210
HMDB0005874	C17079
HMDB0005879	C08371
HMDB0005896	C14209
HMDB0005897	C14458
HMDB0005949	C15473
HMDB0005971	C04575
HMDB0005972	C14594
HMDB0005973	C08302
HMDB0005994	C02373
HMDB0005998	C14748
HMDB0006006	C14710
HMDB0006007	C07328
HMDB0006026	D05204 
HMDB0006027	C14665
HMDB0006031	C14552
HMDB0006032	C04437
HMDB0006036	D04947   
HMDB0006040	C04153
HMDB0006048	C14475
HMDB0006049	C06501
HMDB0006059	C05950
HMDB0006061	C05595
HMDB0006088	C06153
HMDB0006101	C18165
HMDB0006111	C14777
HMDB0006112	C19440
HMDB0006115	C00261
HMDB0006213	C02917
HMDB0006216	C00899
HMDB0006217	C16682
HMDB0006218	C16681
HMDB0006219	C07058
HMDB0006221	C19962
HMDB0006224	C05503
HMDB0006229	C11526
HMDB0006234	C04062
HMDB0006235	C04063
HMDB0006236	C00601
HMDB0006240	C13008
HMDB0006242	C05577
HMDB0006243	C16168
HMDB0006247	C15519
HMDB0006248	C03740
HMDB0006254	C16677
HMDB0006260	C16374
HMDB0006268	C06241
HMDB0006271	C05437
HMDB0006272	C01110
HMDB0006273	C04751
HMDB0006275	C13690
HMDB0006280	C16678
HMDB0006281	C06341
HMDB0006283	C05500
HMDB0006284	C03283
HMDB0006285	C16678
HMDB0006290	C16162  
HMDB0006293	C02045
HMDB0006294	C18218
HMDB0006316	C00541
HMDB0006327	C14153
HMDB0006330	C00636
HMDB0006331	C02480
HMDB0006334	C00618
HMDB0006335	C14152
HMDB0006336	C03246
HMDB0006343	C05699
HMDB0006344	C04148
HMDB0006345	C01011
HMDB0006348	C12449
HMDB0006353	C00110
HMDB0006354	C03319
HMDB0006355	C02670
HMDB0006357	C04225
HMDB0006368	C03035
HMDB0006369	C06192
HMDB0006402	C05259
HMDB0006403	C12450
HMDB0006404	C05274
HMDB0006406	C12448
HMDB0006454	C03508
HMDB0006456	C04133
HMDB0006458	C00937
HMDB0006465	C06462
HMDB0006467	C02949
HMDB0006471	C04593
HMDB0006478	C07329
HMDB0006482	C03640
HMDB0006483	C00402
HMDB0006485	C03204
HMDB0006488	C01250
HMDB0006498	C16216
HMDB0006500	C07711
HMDB0006503	C00582
HMDB0006511	C04575  
HMDB0006513	C16173
HMDB0006516	C16171
HMDB0006519	C16163
HMDB0006523	C02249
HMDB0006524	C02938
HMDB0006525	C06306
HMDB0006526	C16529 
HMDB0006528	C16513
HMDB0006529	C16218
HMDB0006530	C11945 
HMDB0006540	C11946
HMDB0006543	C13650
HMDB0006547	C16300
HMDB0006548	C10858
HMDB0006552	C06800
HMDB0006555	C06196
HMDB0006556	C05938
HMDB0006557	C00498
HMDB0006558	C19586
HMDB0006575	C06372
HMDB0006591	C00203
HMDB0006622	G01889
HMDB0006628	G02993
HMDB0006707	C01967
HMDB0006709	C00399
HMDB0006726	C02530
HMDB0006728	C02530
HMDB0006729	C02530
HMDB0006731	C02530
HMDB0006733	C02530
HMDB0006734	C01290
HMDB0006736	C02530
HMDB0006737	C02530
HMDB0006738	C02530
HMDB0006740	C02530
HMDB0006744	C05381
HMDB0006750	C01290
HMDB0006752	C12126
HMDB0006753	C05474
HMDB0006755	C05478
HMDB0006756	C05480
HMDB0006757	C05475 
HMDB0006758	C05469
HMDB0006759	C05480
HMDB0006760	C05489
HMDB0006762	C05487
HMDB0006763	C05501
HMDB0006764	C05487
HMDB0006765	C11131
HMDB0006766	C05504
HMDB0006768	C05297 
HMDB0006769	C05579
HMDB0006770	C05293
HMDB0006771	C05296
HMDB0006772	C05285
HMDB0006773	C07432
HMDB0006774	C05140
HMDB0006779	C05579
HMDB0006789	C05396
HMDB0006790	C05401
HMDB0006791	C05399
HMDB0006794	C05655
HMDB0006796	C06198
HMDB0006797	C02888
HMDB0006798	C02492
HMDB0006800	C03267
HMDB0006801	C06054
HMDB0006802	C06055
HMDB0006803	C05985
HMDB0006804	C00804
HMDB0006805	C02335   
HMDB0006806	C05983
HMDB0006807	C05668
HMDB0006809	C05841
HMDB0006814	C04006
HMDB0006816	C13425
HMDB0006817	C05802
HMDB0006818	C05803
HMDB0006819	C05804
HMDB0006820	C05805
HMDB0006821	C05923
HMDB0006822	C05922
HMDB0006823	C06148
HMDB0006824	C05925
HMDB0006825	C09332
HMDB0006826	C03541
HMDB0006832	C06157
HMDB0006833	C00900
HMDB0006834	C04079
HMDB0006836	C06083
HMDB0006838	C15816
HMDB0006839	C05109
HMDB0006840	C03541
HMDB0006841	C03845
HMDB0006842	C05439
HMDB0006845	C15776
HMDB0006846	C11522 
HMDB0006847	C15777
HMDB0006848	C15780
HMDB0006849	C15781
HMDB0006851	C15782
HMDB0006852	C15783
HMDB0006853	C06145
HMDB0006855	C06010
HMDB0006857	C00721
HMDB0006865	C15974
HMDB0006866	C15976
HMDB0006867	C05119
HMDB0006868	C04424
HMDB0006869	C05118
HMDB0006870	C05998
HMDB0006872	C03785
HMDB0006873	C01097
HMDB0006875	C03564
HMDB0006876	C02097
HMDB0006878	C16255
HMDB0006880	C05993
HMDB0006886	C05458
HMDB0006888	C05468
HMDB0006889	C05460
HMDB0006890	C05450
HMDB0006891	C05467
HMDB0006892	C05451
HMDB0006893	C05452
HMDB0006894	C05445
HMDB0006895	C05447
HMDB0006896	C05449
HMDB0006897	C15670
HMDB0006898	C05462
HMDB0006900	C06006
HMDB0006901	C15670
HMDB0006902	C05774
HMDB0006904	C06505
HMDB0006915	C05350
HMDB0006921	C05202
HMDB0006927	C06050
HMDB0006928	C11508
HMDB0006938	C01146
HMDB0006940	C14827
HMDB0006941	C05560
HMDB0006954	C06050
HMDB0006955	C04604
HMDB0006961	C05235
HMDB0007008	C16667
HMDB0007098	C00165
HMDB0007099	C00165
HMDB0007100	C00165
HMDB0007101	C00165
HMDB0007102	C13861
HMDB0007103	C00165
HMDB0007108	C00165
HMDB0007112	C00165
HMDB0007131	C00165
HMDB0007132	C00165
HMDB0007156	C00165
HMDB0007166	C00165
HMDB0007170	C00165
HMDB0007223	C00165
HMDB0007224	C00165
HMDB0007248	C00165
HMDB0007257	C00165
HMDB0007398	C00165
HMDB0007853	C04036
HMDB0007858	C00416
HMDB0007859	C00416
HMDB0007860	C00416
HMDB0007861	C00416
HMDB0007862	C00416
HMDB0007878	C00157
HMDB0007879	C00157
HMDB0007880	C00157
HMDB0007882	C00157
HMDB0007884	C00157
HMDB0007886	C00157
HMDB0007887	C00157
HMDB0007897	C00157
HMDB0007898	C00157
HMDB0007911	C00157
HMDB0007912	C00157
HMDB0007914	C00157
HMDB0007936	C00157
HMDB0007937	C00157
HMDB0007938	C00157
HMDB0007939	C00157
HMDB0007940	C00157
HMDB0007958	C00157
HMDB0007959	C00157
HMDB0007960	C00157
HMDB0007961	C00157
HMDB0007964	C00157
HMDB0007966	C00157
HMDB0007967	C00157
HMDB0007981	C00157
HMDB0007984	C00157
HMDB0008002	C00157
HMDB0008003	C00157
HMDB0008004	C00157
HMDB0008005	C00157
HMDB0008028	C00157
HMDB0008029	C00157
HMDB0008065	C00157
HMDB0008066	C00157
HMDB0008067	C00157
HMDB0008068	C00157
HMDB0008069	C00157
HMDB0008070	C00157
HMDB0008071	C00157
HMDB0008091	C00157
HMDB0008092	C00157
HMDB0008119	C00157
HMDB0008120	C00157
HMDB0008121	C00157
HMDB0008126	C00157
HMDB0008129	C00157
HMDB0008182	C00157
HMDB0008183	C00157
HMDB0008186	C00157
HMDB0008191	C00157
HMDB0008192	C00157
HMDB0008230	C00157
HMDB0008231	C00157
HMDB0008232	C00157
HMDB0008233	C00157
HMDB0008270	C00157
HMDB0008271	C00157
HMDB0008304	C00157
HMDB0008306	C00157
HMDB0008308	C00157
HMDB0008309	C00157
HMDB0008312	C00157
HMDB0008317	C00157
HMDB0008322	C00157
HMDB0008375	C00157
HMDB0008377	C00157
HMDB0008379	C00157
HMDB0008409	C00157
HMDB0008413	C00157
HMDB0008414	C00157
HMDB0008416	C00157
HMDB0008426	C00157
HMDB0008427	C00157
HMDB0008428	C00157
HMDB0008429	C00157
HMDB0008431	C00157
HMDB0008444	C00157
HMDB0008507	C00157
HMDB0008508	C00157
HMDB0008509	C00157
HMDB0008510	C00157
HMDB0008515	C00157
HMDB0008537	C00157
HMDB0008541	C00157
HMDB0008542	C00157
HMDB0008609	C00157
HMDB0008610	C00157
HMDB0008611	C00157
HMDB0008612	C00157
HMDB0008614	C00157
HMDB0008615	C00157
HMDB0008655	C00157
HMDB0008658	C00157
HMDB0008659	C00157
HMDB0008660	C00157
HMDB0008663	C00157
HMDB0008670	C00157
HMDB0008674	C00157
HMDB0008676	C00157
HMDB0008681	C00157
HMDB0008682	C00157
HMDB0008683	C00157
HMDB0008684	C00157
HMDB0008686	C00157
HMDB0008688	C00157
HMDB0008690	C00157
HMDB0008691	C00157
HMDB0008692	C00157
HMDB0008697	C00157
HMDB0008698	C00157
HMDB0008699	C00157
HMDB0008700	C00157
HMDB0008703	C00157
HMDB0008704	C00157
HMDB0008707	C00157
HMDB0008730	C00157
HMDB0008732	C00157
HMDB0008736	C00157
HMDB0008737	C00157
HMDB0008738	C00157
HMDB0008745	C00157
HMDB0008746	C00157
HMDB0008747	C00157
HMDB0008748	C00157
HMDB0008749	C00157
HMDB0008750	C00157
HMDB0008751	C00157
HMDB0008752	C00157
HMDB0008754	C00157
HMDB0008758	C00157
HMDB0008761	C00157
HMDB0008762	C00157
HMDB0008766	C00157
HMDB0008768	C00157
HMDB0008770	C00157
HMDB0008773	C00157
HMDB0008775	C00157
HMDB0008796	C00157
HMDB0008800	C00157
HMDB0008837	C00350
HMDB0008842	C00350
HMDB0008843	C00350
HMDB0008844	C00350
HMDB0008845	C00350
HMDB0008846	C00350
HMDB0008847	C00350
HMDB0008848	C00350
HMDB0008849	C00350
HMDB0008971	C00350
HMDB0008974	C00350
HMDB0008976	C00350
HMDB0008978	C00350
HMDB0008980	C00350
HMDB0008981	C00350
HMDB0008983	C00350
HMDB0008984	C00350
HMDB0008985	C00350
HMDB0009141	C00350
HMDB0009148	C00350
HMDB0009150	C00350
HMDB0009151	C00350
HMDB0009152	C00350
HMDB0009153	C00350
HMDB0009154	C00350
HMDB0009155	C00350
HMDB0009156	C00350
HMDB0009363	C00350
HMDB0009365	C00350
HMDB0009368	C00350
HMDB0009373	C00350
HMDB0009374	C00350
HMDB0009375	C00350
HMDB0009376	C00350
HMDB0009377	C00350
HMDB0009378	C00350
HMDB0009551	C00350
HMDB0009552	C00350
HMDB0009553	C00350
HMDB0009556	C00350
HMDB0009557	C00350
HMDB0009558	C00350
HMDB0009560	C00350
HMDB0009561	C00350
HMDB0009562	C00350
HMDB0009571	C00350
HMDB0009775	C00350
HMDB0009776	C00350
HMDB0009777	C00350
HMDB0009779	C00626
HMDB0009791	C00626
HMDB0009801	C00626
HMDB0009804	C00626
HMDB0009809	C00626
HMDB0009834	C00626
HMDB0009837	C00626
HMDB0009843	C00626
HMDB0009871	C00626
HMDB0009873	C00626
HMDB0009874	C00626
HMDB0009875	C00626
HMDB0009888	C00626
HMDB0009891	C00626
HMDB0009892	C00626
HMDB0009893	C00626
HMDB0009895	C00626
HMDB0009898	C00626
HMDB0009900	C00626
HMDB0009904	C00626
HMDB0009905	C00626
HMDB0009906	C00626
HMDB0009909	C00626
HMDB0009911	C00626
HMDB0009916	C00626
HMDB0009918	C00626
HMDB0009927	C00626
HMDB0009931	C00626
HMDB0009938	C00626
HMDB0009939	C00626
HMDB0009941	C00626
HMDB0009944	C00626
HMDB0009947	C00626
HMDB0009950	C00626
HMDB0009964	C00626
HMDB0009965	C00626
HMDB0009966	C00626
HMDB0009967	C00626
HMDB0009969	C00626
HMDB0009972	C00626
HMDB0009973	C00626
HMDB0009974	C00626
HMDB0009976	C00626
HMDB0009977	C00626
HMDB0009980	C00626
HMDB0009982	C00626
HMDB0009983	C00626
HMDB0009985	C00626
HMDB0009986	C00626
HMDB0009987	C00626
HMDB0009989	C00626
HMDB0009990	C00626
HMDB0009991	C00626
HMDB0009992	C00626
HMDB0009993	C00626
HMDB0009994	C00626
HMDB0009995	C00626
HMDB0009996	C00626
HMDB0009997	C00626
HMDB0009998	C00626
HMDB0009999	C00626
HMDB0010000	C00626
HMDB0010001	C00626
HMDB0010002	C00626
HMDB0010003	C00626
HMDB0010004	C00626
HMDB0010005	C00626
HMDB0010006	C00626
HMDB0010007	C00626
HMDB0010008	C00626
HMDB0010009	C00626
HMDB0010010	C00626
HMDB0010011	C00626
HMDB0010012	C00626
HMDB0010013	C00626
HMDB0010014	C00626
HMDB0010015	C00626
HMDB0010016	C00626
HMDB0010017	C00626
HMDB0010018	C00626
HMDB0010019	C00626
HMDB0010020	C00626
HMDB0010021	C00626
HMDB0010022	C00626
HMDB0010023	C00626
HMDB0010024	C00626
HMDB0010028	C00626
HMDB0010029	C00626
HMDB0010035	C00626
HMDB0010038	C00626
HMDB0010039	C00626
HMDB0010043	C00626
HMDB0010044	C00626
HMDB0010045	C00626
HMDB0010046	C00626
